"Tentativi","Eta","Voti"
10,25,30
10,38,21
10,28,26
10,44,25
10,34,24
10,63,29
10,24,23
10,55,27
10,65,23
10,36,24
10,26,25
10,48,25
10,43,26
10,20,24
10,43,25
10,37,27
10,34,27
10,34,25
10,25,28
10,25,28
10,45,25
10,22,21
10,23,25
10,54,25
10,32,25
10,46,21
10,56,25
10,24,20
10,23,25
10,26,27
10,36,27
10,22,26
10,17,23
10,20,25
10,65,26
10,44,25
10,36,24
10,29,23
10,20,22
10,28,28
10,39,25
10,54,23
10,52,25
10,56,25
10,18,26
10,39,24
10,21,26
10,22,26
10,38,28
10,21,25
10,63,27
10,34,29
10,42,23
10,33,25
10,30,24
10,39,23
10,26,25
10,33,26
10,47,23
10,41,24
10,19,27
10,46,22
10,43,23
10,55,24
10,46,24
10,30,25
10,21,25
10,46,25
10,41,26
10,69,25
10,50,26
10,20,28
10,45,25
10,23,27
10,24,22
10,31,26
10,43,25
10,20,26
10,55,24
10,24,30
10,59,25
10,49,23
10,33,26
10,59,25
10,34,25
10,20,25
10,25,27
10,49,23
10,59,25
10,20,25
10,33,25
10,22,24
10,58,28
10,52,23
10,36,29
10,41,23
10,28,26
10,19,25
10,18,23
10,18,22
10,28,25
10,29,24
10,40,27
10,26,28
10,46,27
10,23,27
10,44,26
10,43,29
10,31,24
10,18,24
10,19,24
10,41,23
10,41,26
10,69,23
10,48,28
10,28,24
10,27,23
10,41,23
10,41,23
10,24,22
10,42,23
10,57,25
10,30,24
10,36,23
10,49,24
10,33,30
10,23,27
10,46,27
10,18,23
10,40,23
10,43,29
10,34,28
10,47,27
10,44,25
10,33,25
10,55,26
10,19,26
10,28,22
10,27,25
10,50,25
10,22,25
10,40,25
10,25,25
10,26,28
10,22,26
10,42,25
10,38,24
10,55,24
10,32,24
10,22,22
10,29,24
10,46,22
10,31,28
10,58,24
10,42,26
10,18,28
10,58,25
10,54,27
10,34,21
10,26,26
10,61,26
10,48,24
10,36,26
10,24,27
10,40,22
10,33,27
10,37,25
10,34,29
10,56,26
10,37,26
10,44,24
10,54,27
10,23,23
10,22,22
10,33,27
10,39,24
10,47,24
10,26,23
10,31,21
10,44,26
10,42,26
10,19,26
10,27,24
10,51,26
10,28,24
10,57,24
10,45,23
10,50,29
10,34,28
10,45,31
10,73,25
10,34,24
10,31,25
10,19,25
10,25,26
10,38,23
10,39,25
10,23,22
10,49,26
10,33,27
10,21,27
10,31,22
10,23,23
10,34,24
10,25,26
10,39,24
10,52,23
10,63,23
10,41,24
10,46,24
10,53,24
10,18,26
10,38,25
10,55,24
10,34,27
10,80,23
10,34,23
10,52,24
10,42,25
10,26,25
10,31,26
10,25,22
10,55,22
10,19,24
10,62,27
10,22,26
10,35,24
10,28,24
10,47,29
10,44,23
10,21,25
10,35,28
10,24,23
10,28,27
10,21,27
10,62,26
10,39,25
10,30,25
10,72,25
10,50,30
10,28,25
10,29,27
10,26,25
10,27,25
10,29,23
10,29,28
10,31,21
10,25,27
10,58,26
10,64,24
10,46,25
10,19,24
10,42,23
10,18,29
10,58,22
10,20,22
10,35,22
10,32,27
10,23,27
10,31,23
10,33,27
10,41,23
10,22,28
10,46,23
10,61,29
10,30,24
10,42,25
10,63,29
10,26,24
10,42,24
10,23,25
10,25,27
10,30,25
10,23,22
10,34,26
10,30,27
10,39,29
10,30,24
10,38,24
10,26,27
10,20,28
10,33,22
10,24,25
10,42,22
10,51,24
10,56,23
10,22,25
10,52,23
10,44,25
10,34,25
10,51,25
10,19,25
10,37,25
10,68,24
10,22,30
10,56,23
10,37,26
10,52,30
10,26,24
10,33,28
10,45,26
10,18,24
10,43,26
10,18,24
10,57,27
10,41,28
10,34,26
10,19,25
10,44,22
10,56,28
10,36,24
10,48,24
10,29,25
10,33,25
10,31,29
10,39,26
10,66,27
10,27,26
10,39,26
10,59,26
10,26,28
10,31,28
10,23,23
10,36,25
10,34,26
10,32,25
10,37,25
10,33,27
10,50,25
10,32,23
10,35,24
10,37,23
10,44,22
10,57,24
10,29,25
10,55,24
10,43,28
10,43,22
10,45,26
10,33,19
10,26,25
10,23,24
10,41,26
10,24,23
10,47,23
10,34,27
10,40,26
10,28,27
10,24,25
10,23,23
10,43,24
10,26,26
10,58,22
10,52,26
10,29,25
10,47,26
10,49,26
10,40,24
10,62,26
10,49,25
10,50,26
10,31,23
10,48,23
10,24,23
10,37,24
10,45,27
10,36,26
10,45,26
10,41,29
10,26,27
10,17,29
10,43,26
10,35,27
10,38,29
10,26,28
10,28,24
10,38,28
10,36,25
10,33,25
10,19,23
10,42,24
10,50,23
10,30,24
10,37,25
10,54,23
10,52,27
10,33,24
10,25,21
10,24,24
10,26,25
10,39,21
10,59,22
10,29,28
10,47,26
10,64,26
10,21,27
10,32,25
10,26,26
10,62,21
10,32,26
10,45,25
10,31,27
10,32,24
10,24,27
10,25,26
10,41,25
10,18,24
10,44,22
10,40,23
10,27,26
10,23,24
10,21,24
10,37,21
10,65,24
10,43,26
10,45,23
10,24,23
10,24,25
10,19,25
10,37,23
10,24,25
10,34,25
10,50,26
10,36,25
10,39,26
10,44,26
10,45,23
10,32,22
10,47,26
10,50,24
10,32,24
10,19,22
10,28,26
10,39,25
10,21,24
10,73,26
10,39,25
10,25,26
10,31,24
10,51,26
10,39,26
10,31,28
10,21,25
10,46,23
10,73,23
10,41,25
10,20,23
10,27,25
10,24,24
10,20,25
10,39,26
10,27,27
10,33,24
10,33,24
10,36,24
10,55,29
10,19,23
10,35,29
10,34,26
10,62,25
10,33,25
10,39,24
10,36,22
10,41,27
10,39,26
10,18,25
10,61,30
10,20,24
10,35,24
10,27,25
10,66,25
10,21,25
10,20,26
10,34,25
10,31,25
10,41,23
10,64,26
10,32,28
10,30,24
10,36,25
10,22,24
10,53,26
10,50,28
10,36,27
10,41,23
10,55,24
10,38,27
10,28,23
10,24,24
